game,text,label
italy_serie-a/2015-2016/2015-09-20 - 13-30 Chievo 0 - 1 Inter/1,I said that the Argentine scored 22 goals in the past.,PAST
spain_laliga/2019-2020/2019-12-14 - 18-00 Real Sociedad 2 - 2 Barcelona/2,eye to the lack,CURRENT
italy_serie-a/2016-2017/2016-12-01 - 18-00 Napoli 3 - 0 Internazionale/2,"Yes, she already loves to climb to the corner.",IRRELEVANT
italy_serie-a/2015-2016/2015-08-29 - 21-45 AC Milan 2 - 1 Empoli/1,This too was born from a ball that seemed to be in Milan's management.,IRRELEVANT
italy_serie-a/2016-2017/2016-09-21 - 21-45 Genoa 0 - 0 Napoli/1,How he supports his former team.,IRRELEVANT
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/1,He gave a free kick on the other side earlier.,PAST
germany_bundesliga/2015-2016/2016-04-23 - 16-30 Hertha Berlin 0 - 2 Bayern Munich/2,This means Costa moves to the right. Müller out.,CURRENT
europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 Paris SG 2 - 0 Malmo FF/2,Verratti,CURRENT
france_ligue-1/2016-2017/2016-08-28 - 21-45 Monaco 3 - 1 Paris SG/2,we thought this Sidibe did all last season,PAST
germany_bundesliga/2015-2016/2015-11-08 - 17-30 Dortmund 3 - 2 Schalke/2,And then they defended too carelessly at the back in this counterattack via Goretzka and Hüntela with his second goal.,PAST
europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Benfica 2 - 1 Galatasaray/1,Sabri,CURRENT
france_ligue-1/2016-2017/2017-05-06 - 18-00 Paris SG 5 - 0 Bastia/2,"And yet this is the opportunity, we saw Guedes earlier.",PAST
italy_serie-a/2016-2017/2016-09-17 - 21-45 Napoli 3 - 1 Bologna/1,"Yes, Hysaj, indeed, last season, this and last, became an indispensable player for Murizio Sari.",PAST
spain_laliga/2019-2020/2020-02-16 - 18-00 Real Madrid 2 - 2 Celta Vigo/2,Luka modric,CURRENT
spain_laliga/2016-2017/2016-08-27 - 21-15 Real Madrid 2 - 1 Celta Vigo/2,"The team in that area knows how to behave, plays in a more organized way than last year,",PAST
italy_serie-a/2016-2017/2017-03-12 - 22-45 Palermo 0 - 3 AS Roma/2,In 2014-2015.,PAST
france_ligue-1/2016-2017/2016-09-20 - 22-00 Paris SG 3 - 0 Dijon/2,Same as Zlatan Ibrahimovic last year,PAST
europe_uefa-champions-league/2016-2017/2017-04-12 - 21-45 Bayern Munich 1 - 2 Real Madrid/1,Miula loves her.,IRRELEVANT
spain_laliga/2014-2015/2015-05-09 - 19-00 Barcelona 2 - 0 Real Sociedad/2,Your team needs,CURRENT
italy_serie-a/2016-2017/2016-09-21 - 21-45 AS Roma 4 - 0 Crotone/2,stakes,CURRENT
germany_bundesliga/2016-2017/2017-01-28 - 18-00 Leipzig 2 - 1 Hoffenheim/2,Hoffenheim's build-up play is immediately attacked. They break free with a long ball to Wagner.,CURRENT
spain_laliga/2016-2017/2017-03-19 - 22-45 Barcelona 4 - 2 Valencia/2,Good cut from Gallas in front of Leo Messi,CURRENT
spain_laliga/2016-2017/2017-01-08 - 22-45 Villarreal 1 - 1 Barcelona/2,about Ter Stegen,CURRENT
germany_bundesliga/2016-2017/2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund/1,"Well, I deliberately withheld this from you earlier.",PAST
england_epl/2016-2017/2016-09-17 - 17-00 Hull City 1 - 4 Arsenal/1,"In 2008, Hull beat Arsenal 2-1 at the Emirate Stadium.",PAST
france_ligue-1/2016-2017/2017-02-08 - 18-00 Nice 1 - 0 Saint Etienne/2,He loves and knows how.,IRRELEVANT
italy_serie-a/2015-2016/2015-11-01 - 22-45 Lazio 1 - 3 AC Milan/1,or if he did it to the family that has an entrance area,IRRELEVANT
spain_laliga/2016-2017/2017-01-21 - 18-15 Real Madrid 2 - 1 Malaga/1,There is Christian,CURRENT
france_ligue-1/2016-2017/2017-02-10 - 22-45 Bordeaux 0 - 3 Paris SG/1,has only one goal this season in the league last year he was at this time around,PAST
spain_laliga/2014-2015/2015-04-11 - 21-00 Sevilla 2 - 2 Barcelona/2,Martín and Munura teaching Yellow Cardboard,CURRENT
spain_laliga/2016-2017/2017-02-26 - 22-45 Villarreal 2 - 3 Real Madrid/1,did not rush,CURRENT
germany_bundesliga/2015-2016/2015-09-12 - 16-30 Bayern Munich 2 - 1 FC Augsburg/1,"Werner, on the other hand, had put Rafinha back in position.",PAST
england_epl/2016-2017/2016-10-22 - 17-00 Arsenal 0 - 0 Middlesbrough/2,"Gaston Ramirez supports the guest sector separately, personally.",IRRELEVANT
europe_uefa-champions-league/2014-2015/2014-12-10 - 22-45 Bayern Munich 3 - 0 CSKA Moscow/2,Idol.,IRRELEVANT
italy_serie-a/2016-2017/2016-08-21 - 21-45 Pescara 2 - 2 Napoli/1,"but we, too, are still in 1939, where are such things?",PAST
europe_uefa-champions-league/2016-2017/2017-05-02 - 21-45 Real Madrid 3 - 0 Atl. Madrid/1,against Bayern,CURRENT
spain_laliga/2016-2017/2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid/2,Idol of both sides represents Málaga football and the city,IRRELEVANT
spain_laliga/2016-2017/2016-08-28 - 21-15 Ath Bilbao 0 - 1 Barcelona/1,he leaves with a cut of Ivan Rakitic,CURRENT
europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Barcelona 2 - 1 Bayer Leverkusen/1,Irmich's last season,PAST
france_ligue-1/2016-2017/2017-03-04 - 19-00 Paris SG 1 - 0 Nancy/2,the real sanction at home but david we mentioned it earlier there are errors,PAST
italy_serie-a/2016-2017/2017-03-18 - 18-00 Torino 2 - 2 Internazionale/1,Dambrosio.,CURRENT
germany_bundesliga/2016-2017/2016-09-17 - 16-30 Dortmund 6 - 0 Darmstadt/2,Now he has gone over to the left through the change.,CURRENT
italy_serie-a/2016-2017/2016-11-06 - 17-00 Palermo 1 - 2 AC Milan/2,but this is hell,CURRENT
germany_bundesliga/2015-2016/2015-09-26 - 16-30 1. FSV Mainz 05 0 - 3 Bayern Munich/1,"At the end of last season he made a brief appearance in the Champions League, the Bundesliga game in Leverkusen. Now he had problems with Barthel and then he gave them a second shot.",PAST
europe_uefa-champions-league/2015-2016/2015-11-24 - 22-45 Barcelona 6 - 1 AS Roma/2,grew up,IRRELEVANT
italy_serie-a/2016-2017/2016-10-29 - 21-45 Juventus 2 - 1 Napoli/1,"For example, last year, when Napoli was the leader, and Juventus was catching up with Napoli with great difficulty.",PAST
europe_uefa-champions-league/2015-2016/2015-10-20 - 21-45 Arsenal 2 - 0 Bayern Munich/1,He has already proven himself in the last season,PAST
italy_serie-a/2015-2016/2015-11-22 - 22-45 Inter 4 - 0 Frosinone/1,Murillo,CURRENT
europe_uefa-champions-league/2016-2017/2017-04-11 - 18-00 Juventus 3 - 0 Barcelona/2,The classic is their favorite 4-3-3,IRRELEVANT
europe_uefa-champions-league/2016-2017/2016-11-23 - 22-45 Arsenal 2 - 2 Paris SG/1,we break in the future and that she was born for all and saved on her line by aron,IRRELEVANT
france_ligue-1/2016-2017/2017-04-18 - 19-30 Metz 2 - 3 Paris SG/2,born,IRRELEVANT
germany_bundesliga/2016-2017/2017-05-13 - 18-00 Leipzig 4 - 5 Bayern/1,And he works excellently with them.,CURRENT
france_ligue-1/2016-2017/2016-11-27 - 22-45 Lyon 1 - 2 Paris SG/1,"Marquinhos who has moved to the left axis for the moment, Paul, he has not replaced his return earlier.",PAST
europe_uefa-champions-league/2016-2017/2016-11-23 - 22-45 Arsenal 2 - 2 Paris SG/1,at Ludogoret this previous match,PAST
spain_laliga/2019-2020/2019-12-14 - 18-00 Real Sociedad 2 - 2 Barcelona/1,and Piqué's intervention in extremis,CURRENT
italy_serie-a/2016-2017/2016-09-18 - 18-00 Empoli 0 - 2 Internazionale/1,He grew up in Inter.,IRRELEVANT
spain_laliga/2019-2020/2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid/2,Right after finishing last season.,PAST
france_ligue-1/2016-2017/2016-11-30 - 23-00 Paris SG 2 - 0 Angers/1,to gain speed as we saw earlier otherwise they will be in difficulty,PAST
france_ligue-1/2016-2017/2017-01-21 - 19-00 Nantes 0 - 2 Paris SG/1,He was cut off by the image.,CURRENT
europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Bayern Munich 5 - 0 D. Zagreb/1,Idol.,IRRELEVANT
spain_laliga/2016-2017/2016-08-27 - 21-15 Real Madrid 2 - 1 Celta Vigo/2,"The team in that area knows how to behave, plays in a more organized way than last year,",PAST
france_ligue-1/2016-2017/2016-08-12 - 21-00 Bastia 0 - 1 Paris SG/2,That we were really announcing the big favorite this evening.,IRRELEVANT
